년도,시작,평균기온(℃),평균최저기온(℃),평균최고기온(℃),계산값
1960-01-01,1960-11-26,14.6,10.9,18.9,330
1961-01-01,1961-11-22,15.4,11.5,19.7,325
1962-01-01,1962-12-02,13.7,9.9,18.1,335
1963-01-01,1963-11-10,14,9.8,18.8,313
1964-01-01,1964-12-05,13.8,9.9,18.2,339
1965-01-01,1965-11-29,14.6,10.5,19.1,332
1966-01-01,1966-11-20,13.6,9.7,17.9,323
1967-01-01,1967-11-30,14,9.8,18.8,333
1968-01-01,1968-11-09,13.9,9.9,18.6,313
1969-01-01,1969-11-18,13.4,9.6,17.8,321
1970-01-01,1970-11-30,13.9,10.3,18.3,333
1971-01-01,1971-11-29,14.3,10.7,18.7,332
1972-01-01,1972-11-23,13,9.1,17.3,327
1973-01-01,1973-11-10,13.1,9.3,17.3,313
1974-01-01,1974-11-23,13,9.1,17.4,326
1975-01-01,1975-11-24,15.6,12.1,20.2,327
1976-01-01,1976-11-22,12.6,8.7,17.4,326
1977-01-01,1977-11-28,15.1,11.2,20.1,331
1978-01-01,1978-12-01,14.6,10.7,19.1,334
1979-01-01,1979-11-16,13.8,9.7,18.8,319
1980-01-01,1980-11-14,13.7,9.8,18.2,318
1981-01-01,1981-10-23,12.4,8.7,16.3,295
1982-01-01,1982-12-10,14.8,10.7,19.7,343
1983-01-01,1983-11-16,14.3,11,18.4,319
1984-01-01,1984-12-16,14.3,10.6,18.6,350
1985-01-01,1985-11-11,13.8,10.6,17.5,314
1986-01-01,1986-11-28,12.9,9.4,16.7,331
1987-01-01,1987-11-28,14.4,10.7,18.4,331
1988-01-01,1988-12-09,14.1,10.2,18.7,343
1989-01-01,1989-11-18,14,10.1,18.2,321
1990-01-01,1990-12-01,15.4,11.4,19.9,334
1991-01-01,1991-12-10,13.8,9.8,18.3,343
1992-01-01,1992-11-09,13.7,9.9,18.2,313
1993-01-01,1993-11-21,14.3,10.5,18.8,324
1994-01-01,1994-12-02,15.2,11.3,19.6,335
1995-01-01,1995-11-01,14,10,18.8,304
1996-01-01,1996-11-28,14,10,19.1,332
1997-01-01,1997-12-08,13.9,9.6,19.1,341
1998-01-01,1998-11-17,15.6,11.7,20.8,320
1999-01-01,1999-11-27,14.9,11.3,19.3,330
2000-01-01,2000-12-04,14.8,11.1,19.4,338
2001-01-01,2001-11-28,16.1,12,21.2,331
2002-01-01,2002-11-12,13.6,9.6,18.6,315
2003-01-01,2003-12-08,15,11.3,19.7,341
2004-01-01,2004-11-26,15.4,11.3,20.6,330
2005-01-01,2005-11-29,14.8,10.9,19.8,332
2006-01-01,2006-11-06,16.1,12.6,20.1,309
2007-01-01,2007-11-19,14.6,11.5,18.3,322
2008-01-01,2008-11-18,15.7,12.2,19.6,322
2009-01-01,2009-11-19,15.1,11.7,18.7,322
2010-01-01,2010-11-27,15,11.6,18.8,330
2011-01-01,2011-11-25,16,12.7,19.7,328
2012-01-01,2012-11-13,14.2,10.7,18,317
2013-01-01,2013-11-19,14.7,11.3,18.4,322
2014-01-01,2014-11-14,15.7,12.2,19.4,317
2015-01-01,2015-11-25,16,12.7,19.6,328
2016-01-01,2016-11-26,15.5,12.1,19.3,330
2017-01-01,2017-11-20,14.5,11,18.4,323
2018-01-01,2018-11-24,14.6,11.4,18.3,327
2019-01-01,2019-11-18,15.8,12.3,19.7,321
2020-01-01,2020-11-29,14.8,11.6,18.3,333
2021-01-01,2021-11-22,15.8,12.5,19.4,325
2022-01-01,2022-11-29,15.5,12,19.6,332
2023-01-01,2023-11-17,15.6,12.4,19.2,320
